PROV,MUNI,COD_PROV,COD_MUNI,DC,COD_MUNI_COMPLETO,CUN,ENTIDAD_COLECTIVA,ENTIDAD_SINGULAR,NUCLEO,TIPO,LOCALIDAD,COD_POSTAL
Araba/Álava,Alegría-Dulantzi,01,001,4,010014,0001701,,ALEGRIA-DULANTZI,ALEGRIA-DULANTZI,NUCLEO,ALEGRIA-DULANTZI,01240
Araba/Álava,Alegría-Dulantzi,01,001,4,010014,0002201,,EGILETA,EGILETA,NUCLEO,EGILETA,01193
Araba/Álava,Amurrio,01,002,9,010029,0001701,,ALORIA,ALORIA,NUCLEO,ALORIA,01468
Araba/Álava,Amurrio,01,002,9,010029,0002201,,AMURRIO,AMURRIO,NUCLEO,AMURRIO,01470
Araba/Álava,Amurrio,01,002,9,010029,0002299,,AMURRIO,*DISEMINADO*,DISEMINADO,Diseminado de AMURRIO,01470
Araba/Álava,Amurrio,01,002,9,010029,0003801,,ARTOMAÑA,ARTOMAÑA,NUCLEO,ARTOMAÑA,01468
Araba/Álava,Amurrio,01,002,9,010029,0005601,,BARANBIO,BARANBIO,NUCLEO,BARANBIO,01450
Araba/Álava,Amurrio,01,002,9,010029,0005699,,BARANBIO,*DISEMINADO*,DISEMINADO,Diseminado de BARANBIO,01450
Araba/Álava,Amurrio,01,002,9,010029,0006901,,DELIKA,DELIKA,NUCLEO,DELIKA,01468
Araba/Álava,Amurrio,01,002,9,010029,0006999,,DELIKA,*DISEMINADO*,DISEMINADO,Diseminado de DELIKA,01468
Araba/Álava,Amurrio,01,002,9,010029,0007501,,LARRINBE,LARRINBE,NUCLEO,LARRINBE,01468
Araba/Álava,Amurrio,01,002,9,010029,0007599,,LARRINBE,*DISEMINADO*,DISEMINADO,Diseminado de LARRINBE,01468
Araba/Álava,Amurrio,01,002,9,010029,0008101,,LEKAMAÑA,LEKAMAÑA,NUCLEO,LEKAMAÑA,01450
Araba/Álava,Amurrio,01,002,9,010029,0008199,,LEKAMAÑA,*DISEMINADO*,DISEMINADO,Diseminado de LEKAMAÑA,01450
Araba/Álava,Amurrio,01,002,9,010029,0009499,,LEZAMA,*DISEMINADO*,DISEMINADO,Diseminado de LEZAMA,01450
Araba/Álava,Amurrio,01,002,9,010029,0011501,,SARATXO,SARATXO,NUCLEO,SARATXO,01468
Araba/Álava,Amurrio,01,002,9,010029,0011599,,SARATXO,*DISEMINADO*,DISEMINADO,Diseminado de SARATXO,01468
Araba/Álava,Amurrio,01,002,9,010029,0012001,,TERTANGA,TERTANGA,NUCLEO,TERTANGA,01468
Araba/Álava,Amurrio,01,002,9,010029,0012099,,TERTANGA,*DISEMINADO*,DISEMINADO,Diseminado de TERTANGA,01468
Araba/Álava,Aramaio,01,003,5,010035,0001799,,AREXOLA,*DISEMINADO*,DISEMINADO,Diseminado de AREXOLA,01169
Araba/Álava,Aramaio,01,003,5,010035,0002299,,AZKOAGA,*DISEMINADO*,DISEMINADO,Diseminado de AZKOAGA,01169
Araba/Álava,Aramaio,01,003,5,010035,0003899,,BARAJUEN,*DISEMINADO*,DISEMINADO,Diseminado de BARAJUEN,01169
Araba/Álava,Aramaio,01,003,5,010035,0004399,,ETXAGUEN,*DISEMINADO*,DISEMINADO,Diseminado de ETXAGUEN,01169
Araba/Álava,Aramaio,01,003,5,010035,0005699,,GANTZAGA,*DISEMINADO*,DISEMINADO,Diseminado de GANTZAGA,01169
Araba/Álava,Aramaio,01,003,5,010035,0006901,,IBARRA,IBARRA,NUCLEO,IBARRA,01160
Araba/Álava,Aramaio,01,003,5,010035,0006999,,IBARRA,*DISEMINADO*,DISEMINADO,Diseminado de IBARRA,01160
Araba/Álava,Aramaio,01,003,5,010035,0007501,,OLETA,OLETA,NUCLEO,OLETA,01165
