TIPO_VIA;SINONIMO;DESCRIPCION;COMENTARIO
.;.;CARACTER;Tipo de vía a extinguir
ACCE;ACCE;ACCES;
ACCE;ACCES;ACCES;
ACCE;SARBI;ACCES;
ACCES;ACCE;ACCESO;
ACCES;ACCES;ACCESO;
ACCES;SARBI;ACCESO;
ACEQ;ACEQ;ACEQUIA;
ACERA;ACERA;ACERA;
ALAM;ALAM;ALAMEDA;
ALAM;ZUMAR;ALAMEDA;
ALD;ALD;ALDEA;
ALD;GUNEA;ALDEA;
ALD;ZONA;ALDEA;
ALDAP;ALDAP;ALDAPA;
ALDAP;CUSTA;ALDAPA;
ALDEA;ALDEA;ALDEA;
ALQUE;ALQUE;ALQUERIA;
ALTO;ALTO;ALTO;
ALTO;GAIN;ALTO;
ANDAD;ANDAD;ANDADOR;
ANGTA;ANGTA;ANGOSTA;
APTES;APTES;APARTAMENTS;
APTES;APTOS;APARTAMENTS;
APTOS;APTES;APARTAMENTOS;
APTOS;APTOS;APARTAMENTOS;
ARB;ARB;ARBOLEDA;
ARB;ZUHAI;ARBOLEDA;
ARRAL;ARRAL;ARRABAL;
ARRAL;ERREB;ARRABAL;
ARRAL;RABAL;ARRABAL;
ARRAL;RAVAL;ARRABAL;
ARRY;ARRY;ARROYO;
ARRY;ERREK;ARROYO;
ARRY;RIERA;ARROYO;
ASSEG;ASSEG;ASSEGADOR;
ATAJO;ATAJO;ATAJO;
ATAJO;ATAL;ATAJO;
ATAJO;ATALL;ATAJO;
ATAJO;LASTE;ATAJO;
ATAL;ATAJO;ATALL;
ATAL;ATAL;ATALL;
ATAL;ATALL;ATALL;
ATAL;LASTE;ATALL;
ATALL;ATAJO;ATALLO;
ATALL;ATAL;ATALLO;
ATALL;ATALL;ATALLO;
ATALL;LASTE;ATALLO;
ATZEK;ATZEK;ATZEKALDEA;
ATZUC;ATZUC;ATZUCAT;
AUTO;AUTO;AUTOPISTA;
AUTO;AVIA;AUTOPISTA;
AUZO;AUZO;AUZO;
AUZO;AUZOA;AUZO;
AUZO;AUZUN;AUZO;
AUZO;BAIL;AUZO;
AUZO;BARRI;AUZO;
AUZO;BARRO;AUZO;
AUZOA;AUZO;AUZOA;
AUZOA;AUZOA;AUZOA;
AUZOA;AUZUN;AUZOA;
AUZOA;BAIL;AUZOA;
AUZOA;BARRI;AUZOA;
AUZOA;BARRO;AUZOA;
AUZOT;AUZOT;AUZOTEGI;
AUZOT;BARDA;AUZOTEGI;
AUZUN;AUZO;AUZUNEA;
AUZUN;AUZOA;AUZUNEA;
AUZUN;AUZUN;AUZUNEA;
AUZUN;BAIL;AUZUNEA;
AUZUN;BARRI;AUZUNEA;
AUZUN;BARRO;AUZUNEA;
AV;AV;AVINGUDA;
AV;AVDA;AVINGUDA;
AV;AVGDA;AVINGUDA;
AV;ETDEA;AVINGUDA;
AV;HIRIB;AVINGUDA;
AVDA;AV;AVENIDA;
AVDA;AVDA;AVENIDA;
AVDA;AVGDA;AVENIDA;
AVDA;ETDEA;AVENIDA;
AVDA;HIRIB;AVENIDA;
AVGDA;AV;AVINGUDA;
AVGDA;AVDA;AVINGUDA;
AVGDA;AVGDA;AVINGUDA;
AVGDA;ETDEA;AVINGUDA;
AVGDA;HIRIB;AVINGUDA;
AVIA;AUTO;AUTOVIA;
AVIA;AVIA;AUTOVIA;
BAIL;AUZO;BAILARA;
BAIL;AUZOA;BAILARA;
BAIL;AUZUN;BAILARA;
BAIL;BAIL;BAILARA;
BAIL;BARRI;BAILARA;
BAIL;BARRO;BAILARA;
BARDA;AUZOT;BARRIADA;
BARDA;BARDA;BARRIADA;
BARRI;AUZO;BARRI;
BARRI;AUZOA;BARRI;
BARRI;AUZUN;BARRI;
BARRI;BAIL;BARRI;
BARRI;BARRI;BARRI;
BARRI;BARRO;BARRI;
BARRO;AUZO;BARRIO;
BARRO;AUZOA;BARRIO;
BARRO;AUZUN;BARRIO;
BARRO;BAIL;BARRIO;
BARRO;BARRI;BARRIO;
BARRO;BARRO;BARRIO;
BDA;BDA;BAIXADA;
BDA;BJADA;BAIXADA;
BELNA;BELNA;BELENA;
BIDE;BIDE;BIDE;
BIDE;BIDEA;BIDE;
BIDE;VIA;BIDE;
BIDEA;BIDE;BIDEA;
BIDEA;BIDEA;BIDEA;
BIDEA;VIA;BIDEA;
BIDEB;BIDEB;BIDEBIETA;
BIDEB;GTA;BIDEBIETA;
BJADA;BDA;BAJADA;
BJADA;BJADA;BAJADA;
BLQUE;BLQUE;BLOQUE;
BRANC;BRANC;BARRANCO;
BRDLA;BRDLA;BARREDUELA;
BRZAL;BRZAL;BRAZAL;
BULEV;BULEV;BULEVAR;
BULEV;BV;BULEVAR;
BV;BV;BULEVAR;
C;C;CARRER;
C;C/;CARRER;
C;CALLE;CARRER;
C;CARRE;CARRER;
C;KALE;CARRER;
C;KALEA;CARRER;
C;KARRI;CARRER;
C;RUA;CARRER;
C.H.;C.H.;CMNO HONDO;
C.N.;C.N.;CMNO NUEVO;
C.V.;C.V.;CMNO VIEJO;
C/;C;CARRER;
C/;C/;CARRER;
C/;CALLE;CARRER;
C/;CARRE;CARRER;
C/;KALE;CARRER;
C/;KALEA;CARRER;
C/;KARRI;CARRER;
C/;RUA;CARRER;
CÑADA;CÑADA;CAÑADA;
CAL.;CAL.;CALELLA;
CALL;CALL;CALL;
CALLE;C;CALLE;
CALLE;C/;CALLE;
CALLE;CALLE;CALLE;
CALLE;CARRE;CALLE;
CALLE;KALE;CALLE;
CALLE;KALEA;CALLE;
CALLE;KARRI;CALLE;
CALLE;RUA;CALLE;
CALLI;CALLI;CALLI;
CAMI;CAMI;CAMI;
CAMI;CAMIN;CAMI;
CAMI;CMNO;CAMI;
CAMIN;CAMI;CAMIN;
CAMIN;CAMIN;CAMIN;
CAMP;CAMP;CAMPO;
CAMPA;CAMPA;CAMPA;
CANÑO;CANÑO;CANTIÑO;
CANAL;CANAL;CANAL;
CANT;CANT;CANTON;
CANT;CANTO;CANTON;
CANTO;CANT;CANTO;
CANTO;CANTO;CANTO;
CARRA;CARRA;CARRERADA;
CARRA;CARRY;CARRERADA;
CARRE;C;CARRER;
CARRE;C/;CARRER;
CARRE;CALLE;CARRER;
CARRE;CARRE;CARRER;
CARRE;KALE;CARRER;
CARRE;KALEA;CARRER;
CARRE;KARRI;CARRER;
CARRE;RUA;CARRER;
CARRY;CARRA;CARRERANY;
CARRY;CARRY;CARRERANY;
CBTIZ;CBTIZ;COBERTIZO;
CELLA;CELLA;CANELLA;
CELLA;CELLA;CANELLON;
CELLA;CLLON;CANELLON;
CERRO;CERRO;CERRO;
CINT;CINT;CINTURO;
CINY;CINY;CINYELL;
CIRCU;CIRCU;CIRCUMVAL.LACIO;
CJLA;CJLA;CALLEJUELA;
CJLA;RUELA;CALLEJUELA;
CJTO;CJTO;CONJUNTO;
CJTO;CXTO;CONJUNTO;
CLEYA;CLEYA;CALEYA;
CLLJA;CLLJA;CALLEJA;
CLLJA;KARIK;CALLEJA;
CLLJA;RUELA;CALLEJA;
CLLJO;CLLJO;CALLEJO;
CLLON;CELLA;CALLEJON;
CLLON;CLLON;CALLEJON;
CLLON;ETXAR;CALLEJON;
CLLZO;CLLZO;CALLIZO;
CLYON;CLYON;CALEYON;
CMÑO;CMÑO;CAMIÑO;
CMÑO;CMNO;CAMIÑO;
CMNO;CMÑO;CAMINO;
CMNO;CMNO;CAMINO;
CMPÑ;CMPÑ;CAMPIÑO;
CNDA;CNDA;CANADA;
CNLLA;CNLLA;CANELLA;
COL;COL;COLONIA;
COMPJ;COMPJ;COMPLEJO;
COMPJ;COMPX;COMPLEJO;
COMPX;COMPJ;COMPLEXO;
COMPX;COMPX;COMPLEXO;
CORDL;CORDL;CORDEL;
COSTA;COSTA;COSTA;
COSTA;KOSTA;COSTA;
CRA;CRA;CARRERA;
CRA;KARRE;CARRERA;
CRLLO;CRLLO;CORRILLO;
CRO;CRO;CARRERO;
CRRA;CRRA;CARRUA;
CRRAL;CRRAL;CORRALO;
CRRCI;CRRCI;CORREDORCILLO;
CRRDA;CRRDA;CORREDOIRA;
CRRDA;CRRDE;CORREDOIRA;
CRRDE;CRRDA;CORREDERA;
CRRDE;CRRDE;CORREDERA;
CRRDO;CRRDO;CORREDOR;
CRRIL;CRRIL;CARRIL;
CRRIL;KRRIL;CARRIL;
CRRLO;CRRLO;CORRALILLO;
CRRO;CRRO;CARREIRO;
CRROL;CRROL;CORRIOL;
CRROL;SEDER;CORRIOL;
CRROL;SENDA;CORRIOL;
CRTIL;CRTIL;CARRETIL;
CRTJO;CRTJO;CORTIJO;
CSRIA;CSRIA;CASERIA;
CSRIO;CSRIO;CASERIO;
CSTAN;CSTAN;COSTANILLA;
CTRA;CTRA;CARRETERA;
CTRA;ERREP;CARRETERA;
CTRIN;CTRIN;CARRETERIN;
CUSTA;ALDAP;CUESTA;
CUSTA;CUSTA;CUESTA;
CXON;CELLA;CALEXON;
CXON;CXON;CALEXON;
CXTO;CJTO;CONXUNTO;
CXTO;CXTO;CONXUNTO;
CZADA;CZADA;CALZADA;
CZADS;CZADS;CALZADAS;
DEMAR;DEMAR;DEMARCACIO;
DRERA;DRERA;DRECERA;
EIRAD;EIRAD;EIRADO;
ENFST;ENFST;ENFESTA;
ENTD;ENTD;ENTRADA;
EPTZA;EPTZA;ENPARANTZA;
EPTZA;PL;ENPARANTZA;
EPTZA;PLAZA;ENPARANTZA;
EPTZA;PLZ;ENPARANTZA;
ERREB;ARRAL;ERREBAL;
ERREB;ERREB;ERREBAL;
ERREB;RABAL;ERREBAL;
ERREB;RAVAL;ERREBAL;
ERREK;ARRY;ERREKA;
ERREK;ERREK;ERREKA;
ERREK;RIERA;ERREKA;
ERREP;CTRA;ERREPIDE;
ERREP;ERREP;ERREPIDE;
ERRIB;ERRIB;ERRIBERA;
ERRIB;VEGA;ERRIBERA;
ESC;ESC;ESCALA;
ESCA;ESCA;ESCALERA;
ESCAL;ESCAL;ESCALINATA;
ESCU;ESCU;ESCULLERA;
ESLDA;ESLDA;ESPALDA;
ESTAC;ESTAC;ESTACION CERCANIAS;
ESTDA;ESTDA;ESTRADA;
ETDEA;AV;ETORBIDE;
ETDEA;AVDA;ETORBIDE;
ETDEA;AVGDA;ETORBIDE;
ETDEA;ETDEA;ETORBIDE;
ETDEA;HIRIB;ETORBIDE;
ETXAD;ETXAD;ETXADI;
ETXAD;GRUP;ETXADI;
